x,y
4,5
5,7
4,4.935568435039482
5,7.064431564960518
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,4.977112571006319
5,7.022887428993681
5.006544214029093,4.91683512302671
3.993455785970907,7.08316487697329
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5.026886219667157
5,6.973113780332843
4,5
5,7
4,5
5,7
4,5
5,7
3.9951811033316704,7.0167284255784805
5.00481889666833,4.9832715744215195
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4.002681282896004,5
4.997318717103996,7
4.013311455548128,5
4.986688544451872,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
3.9925614365857776,4.900583951718003
5.007438563414222,7.099416048281997
4,5
5,7
5.018424515064833,5
3.981575484935167,7
4,5.008839733471189
5,6.991160266528811
4,5
5,7
3.9885773908747333,5
5.011422609125266,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
3.9933058696210724,6.989720826522225
5.006694130378928,5.010279173477775
4,5
5,7
4,5
5,7
3.994878853944366,5.028850411829925
5.005121146055634,6.971149588170075
4,5
5,7
4,5
5,7
3.9998829187547633,6.977735102298989
5.000117081245237,5.022264897701011
4,5
5,7
4,5
5,7
4.001044938522592,6.995384036546552
4.998955061477408,5.004615963453448
4,5
5,7
4,5
5,7
5.014117658574324,5
3.9858823414256763,7
4,5
5,7
4,5
5,7
4,5
5,7
4.986384812606977,5
4.013615187393023,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
5.016375068349864,7.006256717680646
3.9836249316501364,4.993743282319354
4,7.012189371338238
5,4.987810628661762
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
5.000128799280227,5
3.9998712007197734,7
5.017671353144051,6.98721136218283
3.9823286468559496,5.01278863781717
4,5
5,7
4,5
5,7
4,6.985399939955335
5,5.014600060044665
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5.005488249451219
5,6.994511750548781
4,5
5,7
4,5
5,7
4,5
5,7
5.006228446594904,7.020459418198923
3.9937715534050957,4.979540581801077
4,5
5,7
4,5
5,7
4,5
5,7
4.949768333129206,6.995994232376913
4.050231666870794,5.004005767623087
4,5
5,7
4,5
5,7
4.997229692809103,7.004968480217159
4.002770307190897,4.995031519782841
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
3.9936811984345124,7.079672315700165
5.006318801565488,4.920327684299835
4.996170907013819,7.008245406407325
4.003829092986181,4.991754593592675
4,5
5,7
4.006455963467356,6.9815094095650965
4.993544036532644,5.0184905904349035
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
4,5
5,7
5.00170135780123,4.994737735059728
